[2, [[0, 66.20825342510551], [1, 65.08981881853796], [2, 59.321113341048935], [3, 41.388472704505695], [4, 27.18575168473661], [5, 22.464408918433854], [6, 21.7351392991284], [7, 17.442352855333684], [8, 20.627696025570337], [9, 22.53235188242194], [10, 24.2814982613777], [11, 25.53284687167226], [12, 21.109254110898494], [13, 18.858518443109364], [14, 20.129993485933483], [15, 21.72284602931094], [16, 19.497721483717797], [17, 16.280415844048942]]]
[9, [[0, 36.11082635562232], [1, 36.17740351457814], [2, 34.35744301255641], [3, 29.706497882634277], [4, 26.87722925310635], [5, 25.93799594824813], [6, 26.392153817603326], [7, 26.457221678673882], [8, 27.850276506940595], [9, 28.565466885607567], [10, 28.42558025801506], [11, 27.669641101738037], [12, 27.290533918847842], [13, 25.494773902626136], [14, 25.17926819799139], [15, 22.8170765225905], [16, 25.01268157253434], [17, 25.119860233300876]]]
[12, [[0, 28.586755888034617], [1, 29.747948266313653], [2, 29.228137247220996], [3, 27.76064645260599], [4, 25.907112341832455], [5, 24.40090094961467], [6, 24.758907893653905], [7, 25.378056808810246], [8, 26.062038631941736], [9, 27.167425385586917], [10, 27.5519968183854], [11, 30.39250933502988], [12, 31.121976788904213], [13, 30.311785127500357], [14, 31.76288125425297], [15, 31.626502374198754], [16, 31.44205364017668], [17, 30.691104927638335]]]
[18, [[0, 25.42716062316081], [1, 25.867284563615065], [2, 26.58037281822567], [3, 26.411976850449715], [4, 25.73088164264171], [5, 24.661371787990753], [6, 24.16118426349362], [7, 24.671171362684536], [8, 24.792711260987822], [9, 25.01777753958509], [10, 25.753412764953502], [11, 26.05089392262057], [12, 27.074901850763187], [13, 26.960046549423087], [14, 27.76663583649249], [15, 28.700651363189223], [16, 29.1545136229464], [17, 30.24046303705545]]]
[2, [[0, 66.19067633370332], [1, 65.24123978374013], [2, 60.23887269504005], [3, 43.919980805650525], [4, 26.781292228541812], [5, 17.96429079921019], [6, 14.218233618759175], [7, 14.861699113685674], [8, 13.625809294871221], [9, 13.324895745291402], [10, 18.660125969512304], [11, 15.497911617361622], [12, 14.6122305343973], [13, 13.702602572790981], [14, 15.369625557108577], [15, 14.949382427384966], [16, 15.144815208129982], [17, 15.186274960874309]]]
[3, [[0, 67.21002826282968], [1, 64.46777738326779], [2, 56.133553031659794], [3, 42.279984888610834], [4, 29.870893696649123], [5, 20.590647343534947], [6, 20.763443502411413], [7, 21.02929578669954], [8, 20.88670728837723], [9, 21.6042752079807], [10, 21.88274325081433], [11, 18.36723823988587], [12, 19.750252512958156], [13, 20.99345077772663], [14, 19.09901336659769], [15, 15.061724630877004], [16, 17.061301765770185], [17, 16.99317932261103]]]
[4, [[0, 64.88442467555465], [1, 60.787503845038614], [2, 49.16591684065485], [3, 33.38542592834606], [4, 25.609724438579942], [5, 22.631516414409912], [6, 20.830704377931603], [7, 18.6837612238415], [8, 16.74627988853192], [9, 18.629296608779768], [10, 19.656561976230883], [11, 18.639722364555944], [12, 21.53060058075475], [13, 17.910594603495746], [14, 18.746013563456543], [15, 16.096568331550756], [16, 21.306499629437653], [17, 18.364745361147733]]]
[6, [[0, 53.429795845278115], [1, 51.43420212241272], [2, 45.07219370314665], [3, 31.333991458544723], [4, 25.141979311234163], [5, 25.669256587273654], [6, 26.47010590137549], [7, 26.565255005510227], [8, 26.661719499451507], [9, 26.81025180476517], [10, 27.477768564720844], [11, 29.509057795507186], [12, 32.3547881510889], [13, 29.422693559788634], [14, 29.359152288773675], [15, 30.896541543549958], [16, 30.824670101882667], [17, 30.800275816910716]]]
[9, [[0, 36.378350460912905], [1, 37.62901013824676], [2, 33.30157383454546], [3, 29.26273757128799], [4, 25.837694979889598], [5, 24.249087533480807], [6, 23.99083385842285], [7, 23.646365346721943], [8, 24.36266066012769], [9, 25.315278227328744], [10, 27.65339879238278], [11, 29.015488865405818], [12, 31.285045312475415], [13, 30.064643309326176], [14, 34.56980087524134], [15, 31.38573261846948], [16, 32.06293035640275], [17, 29.212934653336127]]]
[12, [[0, 28.733606272014985], [1, 30.083419531531675], [2, 30.191117247405828], [3, 27.145970670346646], [4, 25.118673417652662], [5, 24.131097289030855], [6, 23.582911429657678], [7, 24.725347816901568], [8, 24.048306692660148], [9, 25.801410288379124], [10, 25.46709861955135], [11, 27.743144354197117], [12, 26.292310545102605], [13, 28.708056876513012], [14, 30.697878238395433], [15, 30.138132944474453], [16, 30.215080928743532], [17, 27.858971523714626]]]
[18, [[0, 25.41859689593631], [1, 25.80846506454824], [2, 26.22076497073123], [3, 26.00185720365983], [4, 25.429135422957263], [5, 25.132217838914627], [6, 25.455700579535215], [7, 25.212259441214496], [8, 25.30736934005673], [9, 25.262720595070896], [10, 25.15848256267749], [11, 25.206454444918336], [12, 25.93593335475678], [13, 26.963318884481428], [14, 28.144303605297623], [15, 28.58780660221042], [16, 29.41879149548974], [17, 29.183596642251207]]]
[2, [[0, 66.23556393845028], [1, 65.2094847152793], [2, 60.46164212506846], [3, 43.235163505636244], [4, 30.327508678105946], [5, 25.33978280077214], [6, 22.6341536111101], [7, 22.638369736610855], [8, 20.4695596777801], [9, 22.294997705346876], [10, 19.46127705716778], [11, 13.540964246750539], [12, 13.571329882706946], [13, 10.153231064634287], [14, 11.714867420959619], [15, 11.48570464255904], [16, 10.86767483936085], [17, 11.50072884650921]]]
[3, [[0, 67.13580680149586], [1, 64.06978135851521], [2, 54.973435029369725], [3, 39.23048363592511], [4, 29.106722930321936], [5, 25.223708118942852], [6, 22.438826508966212], [7, 19.832578370132783], [8, 20.67778352934223], [9, 19.852528887913543], [10, 18.61599133713089], [11, 18.856893656532005], [12, 18.660974502856725], [13, 17.52543470381818], [14, 16.8586785931391], [15, 19.46975821351004], [16, 24.381739424924806], [17, 21.45523396655838]]]
[4, [[0, 65.07652115982567], [1, 61.89777649839632], [2, 52.47458084687071], [3, 38.54496714008945], [4, 29.75744222640959], [5, 25.452548267558118], [6, 25.248316785331973], [7, 25.535685537622385], [8, 27.175654582634404], [9, 28.832365849103205], [10, 28.724901938372607], [11, 29.814797160434654], [12, 25.81723950908718], [13, 26.23853678427281], [14, 23.096083162996685], [15, 21.364564989650518], [16, 22.345596262891288], [17, 24.73405610286678]]]
[6, [[0, 53.72861038072163], [1, 51.288410127754325], [2, 41.3620650447812], [3, 32.14036013971867], [4, 28.062564598755852], [5, 27.17038154892373], [6, 26.15602798246819], [7, 28.404251404049393], [8, 27.91104751912984], [9, 29.895853870293912], [10, 29.529345029242418], [11, 27.406394301502473], [12, 29.142794730092], [13, 29.826684843717473], [14, 29.77857395562763], [15, 29.005779758191483], [16, 28.417661104493458], [17, 27.31607364286008]]]
[9, [[0, 36.19536717071377], [1, 36.8681268937127], [2, 34.733640631608864], [3, 29.468666966352757], [4, 26.101564906269356], [5, 24.3716817262739], [6, 23.623315319529286], [7, 22.214980474838637], [8, 21.895032701496287], [9, 24.69252149523402], [10, 26.69027050268209], [11, 28.865318552945585], [12, 26.705766250562792], [13, 26.864129976005923], [14, 27.05885142403867], [15, 28.973497910765502], [16, 27.520127478585763], [17, 26.277667107358376]]]
[12, [[0, 28.721208108839924], [1, 30.118550979018586], [2, 29.657574797541727], [3, 27.687024761205606], [4, 25.776426720894356], [5, 24.442669775195462], [6, 24.622428333685495], [7, 25.282060027844008], [8, 26.834093695386226], [9, 28.42520753905921], [10, 28.691741310369405], [11, 28.70818898135074], [12, 28.55790679372293], [13, 28.3852681464708], [14, 30.7697345626882], [15, 30.81886842618665], [16, 30.727080545382787], [17, 29.926525881185796]]]
[18, [[0, 25.426833138910627], [1, 25.79777807168244], [2, 26.032873693533936], [3, 25.633587369651245], [4, 24.799470392712667], [5, 24.33401679734566], [6, 24.406631326250114], [7, 23.802013608628958], [8, 24.91328891250625], [9, 25.710076751291723], [10, 27.33421399834477], [11, 26.971242180475695], [12, 27.07535437060344], [13, 27.377506539907657], [14, 27.70892283205174], [15, 31.005004312475027], [16, 31.32340154752827], [17, 31.15059321468075]]]
[2, [[0, 66.15550511736457], [1, 65.08521941598951], [2, 62.15660774600125], [3, 50.91493102874107], [4, 36.47419355111811], [5, 27.959304390163542], [6, 22.657669753776844], [7, 22.046179365613987], [8, 20.05494275251841], [9, 19.207466633975734], [10, 18.973047719235254], [11, 17.81374681256146], [12, 18.23448894697729], [13, 17.95727432504215], [14, 21.75104337803482], [15, 22.39879732689285], [16, 22.358442676616438], [17, 19.105048505554933]]]
[3, [[0, 67.06999166226187], [1, 64.38939204035803], [2, 55.595396635924985], [3, 34.06488738438806], [4, 26.53549441347227], [5, 21.74129203582305], [6, 18.7699453105566], [7, 19.94446578690606], [8, 17.94833311778818], [9, 19.199159788137585], [10, 18.750344589449767], [11, 18.48944820955953], [12, 20.330568015712156], [13, 20.607498768457532], [14, 20.598134352372156], [15, 18.63757086709616], [16, 22.597605244590962], [17, 18.396755611927038]]]
[4, [[0, 65.04370567504104], [1, 61.244918157097466], [2, 52.51801475863228], [3, 37.71121017417107], [4, 28.8427314847914], [5, 24.945679009660754], [6, 22.996339772824204], [7, 23.892713425349562], [8, 24.278379466594423], [9, 26.48612733636412], [10, 24.46302934450125], [11, 26.107489827888067], [12, 27.056478983105944], [13, 26.50053102073929], [14, 29.131886976003806], [15, 30.257227967280144], [16, 31.092239373779094], [17, 30.475863554789605]]]
[6, [[0, 52.97105477282207], [1, 51.77330117724849], [2, 42.673188791721586], [3, 32.509945809716115], [4, 26.93147903698423], [5, 26.481776142508515], [6, 26.808314484159187], [7, 23.260665061857754], [8, 21.25549923998715], [9, 21.953407180931567], [10, 24.762636356583], [11, 26.38746660657713], [12, 23.692945640777676], [13, 23.09115074300466], [14, 24.25354355624242], [15, 25.08064669787587], [16, 23.346359180543573], [17, 24.158689334662466]]]
[9, [[0, 36.383540468529205], [1, 37.34519324407977], [2, 34.59400518636658], [3, 27.790159915611593], [4, 24.024494661417087], [5, 20.642062169010696], [6, 22.710680987719766], [7, 21.824153381033025], [8, 22.920785849782366], [9, 24.272725399921963], [10, 27.510379077296868], [11, 24.65965857756195], [12, 27.29335442665057], [13, 26.83101089773761], [14, 29.137334633771136], [15, 27.50331088266632], [16, 28.86979729908389], [17, 28.136763546909613]]]
[12, [[0, 28.686485201436916], [1, 29.997962907229788], [2, 29.692376388690576], [3, 27.822722124246173], [4, 26.48169911804613], [5, 24.90452021075639], [6, 24.88745199123447], [7, 24.316032584019165], [8, 24.14711946215721], [9, 24.74032850360256], [10, 25.316658585975407], [11, 26.2461285198018], [12, 28.275376581015845], [13, 27.96682919470084], [14, 28.416438193276537], [15, 27.04813136830234], [16, 26.28951903767734], [17, 27.65559615692449]]]
[18, [[0, 25.441054445596745], [1, 25.998604040234312], [2, 26.335348659000182], [3, 26.276796937165756], [4, 26.23235072758284], [5, 25.27449222950318], [6, 25.307347179701072], [7, 25.356998387484715], [8, 25.61679406975579], [9, 26.816614953032754], [10, 27.945323784737393], [11, 28.607236125841233], [12, 28.660808771272475], [13, 28.068487907548445], [14, 27.774367674012368], [15, 28.32651124397985], [16, 25.754470386039326], [17, 26.587618065452716]]]
